Time,data
1715272153.5976267,-1.9765625
1715272153.6078215,-1.9765625
1715272153.6176636,-1.78125
1715272153.6274784,-1.78125
1715272153.637638,-1.6796875
1715272153.6477425,-1.58203125
1715272153.6580791,-1.9765625
1715272153.6677446,-1.78125
1715272153.6774855,-1.87890625
1715272153.6877472,-1.6796875
1715272153.6977174,-1.87890625
1715272153.7076921,-2.17578125
1715272153.7177353,-1.78125
1715272153.7274852,-1.9765625
1715272153.7376842,-1.9765625
1715272153.7477741,-1.9765625
1715272153.757902,-1.87890625
1715272153.7676263,-1.58203125
1715272153.7775505,-1.78125
1715272153.7876394,-1.87890625
1715272153.7974975,-1.58203125
1715272153.8075175,-2.078125
1715272153.8176274,-1.484375
1715272153.8275938,-2.17578125
1715272153.8376315,-2.078125
1715272153.8475575,-1.78125
1715272153.8578413,-1.87890625
1715272153.8678374,-1.9765625
1715272153.8775134,-1.58203125
1715272153.8877363,-1.87890625
1715272153.8974848,-1.9765625
1715272153.9075406,-1.87890625
1715272153.917654,-2.17578125
1715272153.9275093,-1.87890625
1715272153.9376247,-1.78125
1715272153.9475703,-1.38671875
1715272153.9581141,-1.58203125
1715272153.9677858,-1.78125
1715272153.9775174,-1.6796875
1715272153.9877422,-1.9765625
1715272153.997603,-2.078125
1715272154.0075061,-1.78125
1715272154.0176303,-1.484375
1715272154.0277734,-1.38671875
1715272154.0376031,-1.78125
1715272154.0475852,-2.078125
1715272154.0579016,-1.58203125
1715272154.0677805,-1.6796875
1715272154.077613,-1.6796875
1715272154.0876176,-1.9765625
1715272154.0977755,-1.78125
1715272154.107758,-1.87890625
1715272154.1178753,-1.484375
1715272154.1275227,-1.78125
1715272154.1375668,-1.78125
1715272154.1477532,-1.9765625
1715272154.1581411,-1.87890625
1715272154.1679552,-1.58203125
1715272154.1777527,-1.78125
1715272154.1877878,-1.78125
1715272154.1975298,-1.78125
1715272154.207709,-1.87890625
1715272154.2177968,-1.78125
1715272154.227561,-1.6796875
1715272154.2375484,-1.6796875
1715272154.2476456,-1.78125
1715272154.2579741,-1.87890625
1715272154.2678618,-1.87890625
1715272154.2775826,-1.6796875
1715272154.287612,-1.9765625
1715272154.2975445,-1.6796875
1715272154.307773,-1.38671875
1715272154.3176155,-1.58203125
1715272154.3276217,-1.58203125
1715272154.3376586,-1.58203125
1715272154.3478084,-1.9765625
1715272154.357955,-1.78125
1715272154.367721,-1.87890625
1715272154.377538,-2.078125
1715272154.3877492,-1.78125
1715272154.397678,-1.78125
1715272154.4075913,-1.9765625
1715272154.4178786,-1.484375
1715272154.4275699,-2.078125
1715272154.4377873,-1.87890625
1715272154.447827,-2.078125
1715272154.4583344,-1.484375
1715272154.4679806,-1.58203125
1715272154.4778256,-1.38671875
1715272154.4876492,-1.78125
1715272154.497639,-1.58203125
1715272154.5077653,-1.87890625
1715272154.5176978,-1.58203125
1715272154.5276558,-1.78125
1715272154.5376983,-1.87890625
1715272154.547684,-1.78125
1715272154.559591,-1.78125
1715272154.56789,-1.9765625
1715272154.5777104,-2.17578125
1715272154.5876663,-1.58203125
1715272154.5983577,-1.78125
1715272154.6139925,-1.78125
1715272154.6183417,-1.78125
1715272154.6276574,-1.78125
1715272154.6385806,-1.9765625
1715272154.6485124,-2.078125
1715272154.6586778,-1.87890625
1715272154.6684,-1.78125
1715272154.6783278,-1.78125
1715272154.6882544,-1.6796875
1715272154.6982687,-1.6796875
1715272154.7082732,-1.87890625
1715272154.7184606,-1.78125
1715272154.728256,-1.6796875
